LANGUAGE, English, Russian

STR_WU_NAME, "Wings of Peace","Крылья Мира"
STR_AN225_NAME1, "Antonov-225 'Mriya' UA","Ан-225 'Мрiя' (Украина)"
STR_AN225_NAME2, "Antonov-225 'Mriya' USSR","Ан-225 'Мрiя' (СССР)"
STR_AN225_NAME3, "Antonov-225 (EVA AIR)","Ан-225 (EVA AIR)"
STR_AN225_NAME4, "An-225 'Mriya' UA New","Ан-225 'Мрiя' (Украина, нов.)"
STR_AN225_ON, "<t color='#40c0ff'>Open Nose</t>","<t color='#40c0ff'>Открыть носовую часть</t>"
STR_AN225_CN, "<t color='#40c0ff'>Close Nose</t>","<t color='#40c0ff'>Закрыть носовую часть</t>"
STR_AN225_PS, "Parachute Group","Высадка десанта"
STR_AN225_LC, "<t color='#e00000'>Load Cargo</t>","<t color='#e00000'>Закрепить технику</t>"
STR_AN225_UCA, "<t color='#e00000'>Unload Cargo (All)</t>","<t color='#e00000'>Разгрузка отсека</t>"
STR_AN225_UC, "<t color='#ffffff'>Unload Cargo</t>","<t color='#ffffff'>Открепить технику</t>"
STR_AN225_GU, "<t color='#ffc000'>Gear Up</t>","<t color='#ffc000'>Убрать шасси</t>"
STR_AN225_GD, "<t color='#ffc000'>Gear Down</t>","<t color='#ffc000'>Выпустить шасси</t>"
STR_AN225_OP, "You are outside plane!","Вы не в самолете!"
STR_AN225_OD, "<t color='#ff8800'>Open door</t>","<t color='#ff8800'>Открыть дверь</t>"
STR_AN225_CD, "<t color='#ff8800'>Close door</t>","<t color='#ff8800'>Закрыть дверь</t>"
STR_UA, "Ukraine","Украина"
STR_SU, "USSR","СССР"
STR_TW, "Taiwan","Тайвань"
STR_MRIYA_DESCR, "The Antonov An-225 Mriya (Ukrainian: Антонов Ан-225 Мрія, NATO reporting name: 'Cossack') is a strategic airlift cargo aircraft, designed by the Soviet Antonov Design Bureau. It is the world's heaviest fixed-wing aircraft. The design, built to transport the Buran orbiter, was an enlargement of the successful An-124 Ruslan. The An-225's name, Mriya (Мрiя) means "Dream" (Inspiration) in Ukrainian. The An-225 is commercially available for flying over-sized payloads due to the unique size of its cargo deck. Currently there is only one aircraft in operation.","Ан-225 «Мрия» (укр. мрія «мечта») (по классификации НАТО: Cossack — «Казак») — транспортный самолёт сверхбольшой грузоподъёмности разработки ОКБ им. О. К. Антонова. Уникальный транспортный самолёт был спроектирован и построен на Киевском Механическом Заводе в 1984—1988 годах. Первый полёт был совершён 21 декабря 1988 года. Изначально было заложено 2 машины, в настоящее время один экземпляр находится в лётном состоянии. Второй экземпляр существует в виде задела. Оборудован шестью авиадвигателями Д-18Т производства ОАО «Мотор Сич». На Ан-225 было установлено множество мировых рекордов, в том числе и рекорд взлётного веса и грузоподъёмности. 22 марта 1989 года  Ан-225 совершил полёт с грузом 156,3 тонны, в котором было одновременно побито 110 мировых авиационных рекордов. Такое достижение — рекорд само по себе. В общей сложности, данный самолёт — обладатель около 250 мировых рекордов."